,Short RDate FY,Utility Type,Bname,Fiscal Year,bldg sqft,MTCO2,kg CO2 / sq ft
,FY 18,Electric,INTERCOLLEGIATE SOCCER STADIUM,2018,17382,8.03936,0.463
,FY 18,Electric,CANHAM DONALD B NATATORIUM,2018,77639,74.37600294,0.958
,FY 18,Electric,CANHAM DONALD B NATATORIUM,2018,77639,-7.326712647,-0.094
,FY 18,Electric,ROSS STEPHEN M ACADEMIC CENTER,2018,45356,21.34151798,0.471
,FY 18,Electric,SHEPHERD WOMENS GYMNASTIC,2018,22837,11.62448,0.509
,FY 18,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2018,14649,5.679698369,0.388
,FY 18,Electric,BAHNA WRESTLING  CENTER,2018,22072,24.00944,1.088
,FY 06,Electric,MICHIGAN STADIUM COMPLEX,2006,153636,14.03154125,0.091
,FY 06,Electric,MICHIGAN STADIUM COMPLEX,2006,153636,28.400775,0.185
,FY 06,Electric,KEEN CLIFFORD P ARENA,2006,38816,14.6161888,0.377
,FY 06,Electric,SHEPHERD WOMENS GYMNASTIC,2006,22837,9.20942464,0.403
,FY 06,Electric,INDOOR TRACK BUILDING,2006,68102,12.28381825,0.180
,FY 06,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2006,14149,16.33695996,1.155
,FY 06,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2006,88863,34.65651904,0.390
,FY 06,Electric,CANHAM DONALD B NATATORIUM,2006,77721,125.170553,1.611
,FY 06,Electric,WEIDENBACH JOHN P HALL,2006,23223,21.29195163,0.917
,FY 06,Electric,SCHEMBECHLER GLENN E HALL,2006,69698,26.74184122,0.384
,FY 06,Electric,SCHEMBECHLER GLENN E HALL,2006,69698,53.4917058,0.767
,FY 06,Electric,CRISLER ARENA,2006,386320,87.56755665,0.227
,FY 06,Electric,CRISLER ARENA,2006,386320,0,0.000
,FY 06,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2006,76247,22.39075731,0.294
,FY 06,Electric,ATH CREW BOATHOUSE FACILITY,2006,7454,-2.75298179,-0.369
,FY 06,Electric,ATH CREW BOATHOUSE FACILITY,2006,7454,0.085581002,0.011
,FY 06,Electric,ATH CREW BOATHOUSE FACILITY,2006,7454,2.75298179,0.369
,FY 06,Electric,ATH CREW BOATHOUSE FACILITY,2006,7454,0.029536806,0.004
,FY 06,Electric,FISHER RAY BASEBALL STADIUM,2006,11556,5.183045673,0.449
,FY 06,Electric,RADRICK FARMS GOLF CLUBHOUSE,2006,10715,12.7235472,1.187
,FY 06,Electric,RADRICK FARMS GOLF CLUBHOUSE,2006,10715,1.83658345,0.171
,FY 06,Electric,RADRICK FARMS GOLF CLUBHOUSE,2006,10715,0.360500504,0.034
,FY 06,Electric,RADRICK FARMS CARETAKERS HOUSE,2006,2874,11.2368613,3.910
,FY 15,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2015,14550,4.474957262,0.308
,FY 15,Electric,SHEPHERD WOMENS GYMNASTIC,2015,22837,21.9698368,0.962
,FY 15,Electric,BAHNA WRESTLING  CENTER,2015,22072,18.67436128,0.846
,FY 15,Electric,FISHER RAY BASEBALL STADIUM,2015,30167,14.82154956,0.491
,FY 15,Electric,CANHAM DONALD B NATATORIUM,2015,77639,87.02881643,1.121
,FY 15,Electric,ROSS STEPHEN M ACADEMIC CENTER,2015,45356,29.31753221,0.646
,FY 15,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2015,78278,23.79432573,0.304
,FY 15,Electric,ATH CREW BOATHOUSE FACILITY,2015,7454,2.373320528,0.318
,FY 15,Electric,RADRICK FARMS GOLF CLUBHOUSE,2015,10715,7.791342452,0.727
,FY 15,Electric,RADRICK FARMS CARETAKERS HOUSE,2015,2874,11.04273376,3.842
,FY 15,Electric,RADRICK FARMS CARETAKERS HOUSE,2015,2874,0.743650068,0.259
,FY 15,Electric,KEEN CLIFFORD P ARENA,2015,38816,13.47313528,0.347
,FY 15,Electric,ALUMNI FIELD,2015,12209,2.58633055,0.212
,FY 15,Electric,GLICK AL FIELD HOUSE,2015,105709,31.02157223,0.293
,FY 15,Electric,SCHEMBECHLER GLENN E HALL,2015,85526,-7.93064881,-0.093
,FY 15,Electric,SCHEMBECHLER GLENN E HALL,2015,85526,29.59610994,0.346
,FY 15,Electric,SCHEMBECHLER GLENN E HALL,2015,85526,59.20109783,0.692
,FY 15,Electric,SCHEMBECHLER GLENN E HALL,2015,85526,-15.86367693,-0.185
,FY 15,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2015,88863,26.36380416,0.297
,FY 15,Electric,MICHIGAN STADIUM COMPLEX,2015,570265,304.1175875,0.533
,FY 15,Electric,FIELD HOCKEY COMPLEX,2015,14683,13.76005568,0.937
,FY 15,Electric,CRISLER ARENA,2015,264041,2.54387584,0.010
,FY 15,Electric,CRISLER ARENA,2015,264041,149.9034477,0.568
,FY 15,Electric,INTERCOLLEGIATE SOCCER STADIUM,2015,17382,6.9378432,0.399
,FY 15,Electric,INDOOR TRACK BUILDING,2015,69183,14.67675907,0.212
,FY 15,Electric,WEIDENBACH JOHN P HALL,2015,23232,14.75719823,0.635
,FY 12,Electric,ATH CREW BOATHOUSE FACILITY,2012,7454,3.300758016,0.443
,FY 12,Electric,KEEN CLIFFORD P ARENA,2012,38816,3.555436349,0.092
,FY 12,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2012,78402,30.42304416,0.388
,FY 12,Electric,CRISLER ARENA,2012,201311,101.4632545,0.504
,FY 12,Electric,BAHNA WRESTLING  CENTER,2012,22072,23.83261696,1.080
,FY 12,Electric,MICHIGAN STADIUM COMPLEX,2012,153630,299.0140956,1.946
,FY 12,Electric,SCHEMBECHLER GLENN E HALL,2012,77187,15.49697236,0.201
,FY 12,Electric,SCHEMBECHLER GLENN E HALL,2012,77187,30.99859229,0.402
,FY 12,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2012,14550,4.860141979,0.334
,FY 12,Electric,WEIDENBACH JOHN P HALL,2012,23223,6.954852854,0.299
,FY 12,Electric,FISHER RAY BASEBALL STADIUM,2012,30167,21.43456757,0.711
,FY 12,Electric,RADRICK FARMS GOLF CLUBHOUSE,2012,10715,0,0.000
,FY 12,Electric,RADRICK FARMS GOLF CLUBHOUSE,2012,10715,6.617860096,0.618
,FY 12,Electric,GLICK AL FIELD HOUSE,2012,105709,53.28325338,0.504
,FY 12,Electric,INTERCOLLEGIATE SOCCER STADIUM,2012,17382,7.36968704,0.424
,FY 12,Electric,RADRICK FARMS CARETAKERS HOUSE,2012,2874,2.435265536,0.847
,FY 12,Electric,INDOOR TRACK BUILDING,2012,69183,20.7692131,0.300
,FY 12,Electric,SHEPHERD WOMENS GYMNASTIC,2012,22837,10.93566464,0.479
,FY 12,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2012,88863,63.94986496,0.720
,FY 12,Electric,ROSS STEPHEN M ACADEMIC CENTER,2012,45356,19.00717946,0.419
,FY 12,Electric,CANHAM DONALD B NATATORIUM,2012,77639,60.47419975,0.779
,FY 13,Electric,WEIDENBACH JOHN P HALL,2013,23232,8.721522314,0.375
,FY 13,Electric,SCHEMBECHLER GLENN E HALL,2013,77187,12.69056641,0.164
,FY 13,Electric,SCHEMBECHLER GLENN E HALL,2013,77187,25.38493986,0.329
,FY 13,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2013,88863,77.77741824,0.875
,FY 13,Electric,INTERCOLLEGIATE SOCCER STADIUM,2013,17382,7.13899008,0.411
,FY 13,Electric,GLICK AL FIELD HOUSE,2013,105709,68.41784568,0.647
,FY 13,Electric,KEEN CLIFFORD P ARENA,2013,38816,13.82571561,0.356
,FY 13,Electric,ALUMNI FIELD,2013,12461,8.653957261,0.694
,FY 13,Electric,SHEPHERD WOMENS GYMNASTIC,2013,22837,12.524544,0.548
,FY 13,Electric,BAHNA WRESTLING  CENTER,2013,22072,29.37005568,1.331
,FY 13,Electric,CANHAM DONALD B NATATORIUM,2013,77639,66.20335774,0.853
,FY 13,Electric,ROSS STEPHEN M ACADEMIC CENTER,2013,45356,20.78924721,0.458
,FY 13,Electric,FISHER RAY BASEBALL STADIUM,2013,30167,25.01509482,0.829
,FY 13,Electric,CRISLER ARENA,2013,201311,117.3717587,0.583
,FY 13,Electric,CRISLER ARENA,2013,201311,2.56753152,0.013
,FY 13,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2013,14550,8.074456995,0.555
,FY 13,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2013,78402,41.15577973,0.525
,FY 13,Electric,RADRICK FARMS GOLF CLUBHOUSE,2013,10715,0.021917952,0.002
,FY 13,Electric,RADRICK FARMS GOLF CLUBHOUSE,2013,10715,5.805126144,0.542
,FY 13,Electric,RADRICK FARMS CARETAKERS HOUSE,2013,2874,2.56753152,0.893
,FY 13,Electric,RADRICK FARMS CARETAKERS HOUSE,2013,2874,1.211749632,0.422
,FY 13,Electric,INDOOR TRACK BUILDING,2013,69183,29.89710304,0.432
,FY 13,Electric,MICHIGAN STADIUM COMPLEX,2013,153630,419.7868743,2.732
,FY 16,Electric,ALUMNI FIELD,2016,12209,5.601611625,0.459
,FY 16,Electric,FIELD HOCKEY COMPLEX,2016,14683,13.07458,0.890
,FY 16,Electric,CANHAM DONALD B NATATORIUM,2016,77639,-7.632955471,-0.098
,FY 16,Electric,CANHAM DONALD B NATATORIUM,2016,77639,81.16438542,1.045
,FY 16,Electric,ROSS STEPHEN M ACADEMIC CENTER,2016,45356,23.61515418,0.521
,FY 16,Electric,ATH CREW BOATHOUSE FACILITY,2016,7454,2.25536505,0.303
,FY 16,Electric,INTERCOLLEGIATE SOCCER STADIUM,2016,17382,11.255508,0.648
,FY 16,Electric,WEIDENBACH JOHN P HALL,2016,23229,-4.888004911,-0.210
,FY 16,Electric,WEIDENBACH JOHN P HALL,2016,23229,-15.02685046,-0.647
,FY 16,Electric,WEIDENBACH JOHN P HALL,2016,23229,30.38078928,1.308
,FY 16,Electric,SHEPHERD WOMENS GYMNASTIC,2016,22837,16.48534,0.722
,FY 16,Electric,CRISLER ARENA,2016,264041,2.444378,0.009
,FY 16,Electric,CRISLER ARENA,2016,264041,41.48257939,0.157
,FY 16,Electric,CRISLER ARENA,2016,264041,79.89848196,0.303
,FY 16,Electric,GLICK AL FIELD HOUSE,2016,105709,48.23614976,0.456
,FY 16,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2016,78278,27.19927406,0.347
,FY 16,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2016,89026,55.14062,0.619
,FY 16,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2016,14649,4.888004911,0.334
,FY 16,Electric,INDOOR TRACK BUILDING,2016,69183,21.98239342,0.318
,FY 16,Electric,KEEN CLIFFORD P ARENA,2016,37261,15.02685046,0.403
,FY 16,Electric,BAHNA WRESTLING  CENTER,2016,22072,21.658326,0.981
,FY 16,Electric,MICHIGAN STADIUM COMPLEX,2016,570265,116.3692812,0.204
,FY 16,Electric,MICHIGAN STADIUM COMPLEX,2016,570265,23.80327467,0.042
,FY 16,Electric,MICHIGAN STADIUM COMPLEX,2016,570265,67.63088101,0.119
,FY 16,Electric,MICHIGAN STADIUM COMPLEX,2016,570265,69.28374966,0.121
,FY 16,Electric,MICHIGAN STADIUM COMPLEX,2016,570265,57.46522494,0.101
,FY 16,Electric,MICHIGAN STADIUM COMPLEX,2016,570265,17.19492796,0.030
,FY 16,Electric,RADRICK FARMS GOLF CLUBHOUSE,2016,10725,5.042950775,0.470
,FY 16,Electric,SCHEMBECHLER GLENN E HALL,2016,85526,-9.065517598,-0.106
,FY 16,Electric,SCHEMBECHLER GLENN E HALL,2016,85526,28.47931113,0.333
,FY 16,Electric,SCHEMBECHLER GLENN E HALL,2016,85526,-1.867017691,-0.022
,FY 16,Electric,SCHEMBECHLER GLENN E HALL,2016,85526,-18.13375646,-0.212
,FY 16,Electric,SCHEMBECHLER GLENN E HALL,2016,85526,-3.734593934,-0.044
,FY 16,Electric,SCHEMBECHLER GLENN E HALL,2016,85526,56.96716142,0.666
,FY 16,Electric,RADRICK FARMS CARETAKERS HOUSE,2016,2874,5.229832,1.820
,FY 16,Electric,RADRICK FARMS CARETAKERS HOUSE,2016,2874,0.749656625,0.261
,FY 16,Electric,FISHER RAY BASEBALL STADIUM,2016,30167,25.1210118,0.833
,FY 08,Electric,CRISLER ARENA,2008,377760,114.3080078,0.303
,FY 08,Electric,CRISLER ARENA,2008,377760,0,0.000
,FY 08,Electric,KEEN CLIFFORD P ARENA,2008,38816,9.727888189,0.251
,FY 08,Electric,INDOOR TRACK BUILDING,2008,68102,7.685457398,0.113
,FY 08,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2008,76247,16.39053371,0.215
,FY 08,Electric,SCHEMBECHLER GLENN E HALL,2008,69698,20.22006484,0.290
,FY 08,Electric,SCHEMBECHLER GLENN E HALL,2008,69698,40.4461963,0.580
,FY 08,Electric,FISHER RAY BASEBALL STADIUM,2008,11556,25.93961608,2.245
,FY 08,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2008,14149,5.534465928,0.391
,FY 08,Electric,RADRICK FARMS GOLF CLUBHOUSE,2008,10715,2.07210632,0.193
,FY 08,Electric,RADRICK FARMS GOLF CLUBHOUSE,2008,10715,4.57719008,0.427
,FY 08,Electric,RADRICK FARMS CARETAKERS HOUSE,2008,2874,1.378569242,0.480
,FY 08,Electric,MICHIGAN STADIUM COMPLEX,2008,153630,0,0.000
,FY 08,Electric,WEIDENBACH JOHN P HALL,2008,23223,11.84322493,0.510
,FY 08,Electric,SHEPHERD WOMENS GYMNASTIC,2008,22837,7.54617824,0.330
,FY 08,Electric,ROSS STEPHEN M ACADEMIC CENTER,2008,45356,33.98853888,0.749
,FY 08,Electric,CANHAM DONALD B NATATORIUM,2008,77721,99.80238549,1.284
,FY 08,Electric,ATH CREW BOATHOUSE FACILITY,2008,7454,2.355864896,0.316
,FY 08,Electric,ATH CREW BOATHOUSE FACILITY,2008,7454,0.120615144,0.016
,FY 08,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2008,88863,63.58582976,0.716
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,2.144959213,0.004
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,0,0.000
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,53.40961837,0.094
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,-6.147721949,-0.011
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,0,0.000
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,-4.423001466,-0.008
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,87.92457105,0.154
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,6.147721949,0.011
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,4.423001466,0.008
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,-2.144959213,-0.004
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,17.09536512,0.030
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,103.537266,0.182
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,12.98408165,0.023
,FY 18,Electric,INDOOR TRACK BUILDING,2018,69183,18.35474154,0.265
,FY 18,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2018,78278,9.996858624,0.128
,FY 18,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2018,89026,46.38928,0.521
,FY 18,Electric,ALUMNI FIELD,2018,12209,3.769644121,0.309
,FY 18,Electric,KEEN CLIFFORD P ARENA,2018,37261,15.93647085,0.428
,FY 18,Electric,GLICK AL FIELD HOUSE,2018,105709,62.60306629,0.592
,FY 18,Electric,RADRICK FARMS GOLF CLUBHOUSE,2018,10725,9.188228,0.857
,FY 18,Electric,RADRICK FARMS CARETAKERS HOUSE,2018,2874,7.76776,2.703
,FY 18,Electric,RADRICK FARMS CARETAKERS HOUSE,2018,2874,0.817516,0.284
,FY 18,Electric,SCHEMBECHLER GLENN E HALL,2018,85526,-3.331952756,-0.039
,FY 18,Electric,SCHEMBECHLER GLENN E HALL,2018,85526,26.75981535,0.313
,FY 18,Electric,SCHEMBECHLER GLENN E HALL,2018,85526,-6.664905868,-0.078
,FY 18,Electric,SCHEMBECHLER GLENN E HALL,2018,85526,53.52766481,0.626
,FY 18,Electric,FISHER RAY BASEBALL STADIUM,2018,30167,14.80035254,0.491
,FY 18,Electric,CRISLER ARENA,2018,264041,120.7697335,0.457
,FY 18,Electric,CRISLER ARENA,2018,264041,2.55304,0.010
,FY 18,Electric,FIELD HOCKEY COMPLEX,2018,14683,16.07872,1.095
,FY 18,Electric,WEIDENBACH JOHN P HALL,2018,23229,-6.545184722,-0.282
,FY 18,Electric,WEIDENBACH JOHN P HALL,2018,23229,33.48556875,1.442
,FY 18,Electric,WEIDENBACH JOHN P HALL,2018,23229,-15.93647085,-0.686
,FY 18,Electric,INTERCOLLEGIATE SOCCER STADIUM,2018,17382,12.4936,0.719
,FY 18,Electric,CANHAM DONALD B NATATORIUM,2018,77639,-9.040715032,-0.116
,FY 18,Electric,CANHAM DONALD B NATATORIUM,2018,77639,95.51432366,1.230
,FY 18,Electric,ROSS STEPHEN M ACADEMIC CENTER,2018,45356,23.26764937,0.513
,FY 18,Electric,ATH CREW BOATHOUSE FACILITY,2018,7454,1.992186,0.267
,FY 18,Electric,SHEPHERD WOMENS GYMNASTIC,2018,22837,15.42688,0.676
,FY 18,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2018,14649,6.545184722,0.447
,FY 18,Electric,BAHNA WRESTLING  CENTER,2018,22072,19.8268,0.898
,FY 07,Electric,FISHER RAY BASEBALL STADIUM,2007,11556,4.100047529,0.355
,FY 07,Electric,MICHIGAN STADIUM COMPLEX,2007,153630,48.459159,0.315
,FY 07,Electric,MICHIGAN STADIUM COMPLEX,2007,153630,17.42660267,0.113
,FY 07,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2007,14149,4.392507875,0.310
,FY 07,Electric,RADRICK FARMS GOLF CLUBHOUSE,2007,10715,2.145279277,0.200
,FY 07,Electric,RADRICK FARMS GOLF CLUBHOUSE,2007,10715,5.47665416,0.511
,FY 07,Electric,RADRICK FARMS CARETAKERS HOUSE,2007,2874,3.180613055,1.107
,FY 07,Electric,WEIDENBACH JOHN P HALL,2007,23223,13.37922042,0.576
,FY 07,Electric,CRISLER ARENA,2007,385125,102.8933764,0.267
,FY 07,Electric,CRISLER ARENA,2007,385125,0,0.000
,FY 07,Electric,CANHAM DONALD B NATATORIUM,2007,77721,87.69048087,1.128
,FY 07,Electric,ROSS STEPHEN M ACADEMIC CENTER,2007,45356,28.26948595,0.623
,FY 07,Electric,SCHEMBECHLER GLENN E HALL,2007,69698,17.47864044,0.251
,FY 07,Electric,SCHEMBECHLER GLENN E HALL,2007,69698,34.962525,0.502
,FY 07,Electric,INDOOR TRACK BUILDING,2007,68102,15.81470916,0.232
,FY 07,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2007,76247,20.61789411,0.270
,FY 07,Electric,ATH CREW BOATHOUSE FACILITY,2007,7454,1.385316593,0.186
,FY 07,Electric,ATH CREW BOATHOUSE FACILITY,2007,7454,0.065381405,0.009
,FY 07,Electric,KEEN CLIFFORD P ARENA,2007,38816,10.46582234,0.270
,FY 07,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2007,88863,59.6893768,0.672
,FY 07,Electric,SHEPHERD WOMENS GYMNASTIC,2007,22837,7.50732368,0.329
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,1.890404403,0.003
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,4.994186732,0.009
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,1.504552902,0.003
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,-1.504552902,-0.003
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,-4.994186732,-0.009
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,-3.719626334,-0.007
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,33.31363261,0.058
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,315.7886391,0.554
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,3.719626334,0.007
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,-1.890404403,-0.003
,FY 18,Electric,MICHIGAN STADIUM COMPLEX,2018,570377,22.13287083,0.039
,FY 18,Electric,INDOOR TRACK BUILDING,2018,69183,17.79382779,0.257
,FY 18,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2018,78278,31.04541528,0.397
,FY 18,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2018,89026,57.79648,0.649
,FY 18,Electric,ALUMNI FIELD,2018,12209,11.09680336,0.909
,FY 18,Electric,KEEN CLIFFORD P ARENA,2018,37261,9.020172012,0.242
,FY 18,Electric,GLICK AL FIELD HOUSE,2018,105709,52.52269582,0.497
,FY 18,Electric,RADRICK FARMS GOLF CLUBHOUSE,2018,10725,0.008827,0.001
,FY 18,Electric,RADRICK FARMS GOLF CLUBHOUSE,2018,10725,4.471894,0.417
,FY 18,Electric,RADRICK FARMS CARETAKERS HOUSE,2018,2874,1.46664,0.510
,FY 18,Electric,RADRICK FARMS CARETAKERS HOUSE,2018,2874,0.764554,0.266
,FY 18,Electric,SCHEMBECHLER GLENN E HALL,2018,85526,17.55478296,0.205
,FY 18,Electric,SCHEMBECHLER GLENN E HALL,2018,85526,-3.698565273,-0.043
,FY 18,Electric,SCHEMBECHLER GLENN E HALL,2018,85526,35.11484011,0.411
,FY 18,Electric,SCHEMBECHLER GLENN E HALL,2018,85526,-7.398238082,-0.087
,FY 18,Electric,FISHER RAY BASEBALL STADIUM,2018,30167,23.04837497,0.764
,FY 18,Electric,CRISLER ARENA,2018,264041,102.2859282,0.387
,FY 18,Electric,CRISLER ARENA,2018,264041,2.60736,0.010
,FY 18,Electric,FIELD HOCKEY COMPLEX,2018,14683,12.60224,0.858
,FY 18,Electric,WEIDENBACH JOHN P HALL,2018,23229,7.983196103,0.344
,FY 18,Electric,WEIDENBACH JOHN P HALL,2018,23229,-3.492759942,-0.150
,FY 18,Electric,INTERCOLLEGIATE SOCCER STADIUM,2018,17382,6.62704,0.381
,FY 18,Electric,CANHAM DONALD B NATATORIUM,2018,77639,-6.164245682,-0.079
,FY 18,Electric,CANHAM DONALD B NATATORIUM,2018,77639,66.84252034,0.861
,FY 18,Electric,ROSS STEPHEN M ACADEMIC CENTER,2018,45356,19.5457901,0.431
,FY 18,Electric,ATH CREW BOATHOUSE FACILITY,2018,7454,1.931076,0.259
,FY 18,Electric,SHEPHERD WOMENS GYMNASTIC,2018,22837,8.25664,0.362
,FY 18,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2018,14649,3.492759942,0.238
,FY 18,Electric,BAHNA WRESTLING  CENTER,2018,22072,0.21728,0.010
,FY 18,Electric,BAHNA WRESTLING  CENTER,2018,22072,16.56704,0.751
,FY 17,Electric,ATH CREW BOATHOUSE FACILITY,2017,7454,2.76345,0.371
,FY 17,Electric,INTERCOLLEGIATE SOCCER STADIUM,2017,17382,7.992,0.460
,FY 17,Electric,SHEPHERD WOMENS GYMNASTIC,2017,22837,11.772,0.515
,FY 17,Electric,RADRICK FARMS GOLF CLUBHOUSE,2017,10725,0.008775,0.001
,FY 17,Electric,RADRICK FARMS GOLF CLUBHOUSE,2017,10725,4.718925,0.440
,FY 17,Electric,KEEN CLIFFORD P ARENA,2017,37261,12.39603548,0.333
,FY 17,Electric,RADRICK FARMS CARETAKERS HOUSE,2017,2874,0.775575,0.270
,FY 17,Electric,RADRICK FARMS CARETAKERS HOUSE,2017,2874,2.484,0.864
,FY 17,Electric,FISHER RAY BASEBALL STADIUM,2017,30167,25.23209837,0.836
,FY 17,Electric,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2017,14649,4.857671072,0.332
,FY 17,Electric,OOSTERBAAN BENNIE FIELD HOUSE,2017,78278,30.60818231,0.391
,FY 17,Electric,BAHNA WRESTLING  CENTER,2017,22072,20.034,0.908
,FY 17,Electric,SCHEMBECHLER GLENN E HALL,2017,85526,-3.624075591,-0.042
,FY 17,Electric,SCHEMBECHLER GLENN E HALL,2017,85526,-10.20170605,-0.119
,FY 17,Electric,SCHEMBECHLER GLENN E HALL,2017,85526,28.63529178,0.335
,FY 17,Electric,SCHEMBECHLER GLENN E HALL,2017,85526,-20.40647626,-0.239
,FY 17,Electric,SCHEMBECHLER GLENN E HALL,2017,85526,-7.249233436,-0.085
,FY 17,Electric,SCHEMBECHLER GLENN E HALL,2017,85526,57.27917033,0.670
,FY 17,Electric,INDOOR TRACK BUILDING,2017,69183,23.02171774,0.333
,FY 17,Electric,WEIDENBACH JOHN P HALL,2017,23229,-4.857671072,-0.209
,FY 17,Electric,WEIDENBACH JOHN P HALL,2017,23229,24.67671964,1.062
,FY 17,Electric,WEIDENBACH JOHN P HALL,2017,23229,-12.39603548,-0.534
,FY 17,Electric,CRISLER ARENA,2017,264041,2.322,0.009
,FY 17,Electric,CRISLER ARENA,2017,264041,80.55084858,0.305
,FY 17,Electric,CRISLER ARENA,2017,264041,41.08689185,0.156
,FY 17,Electric,ALUMNI FIELD,2017,12209,10.87330903,0.891
,FY 17,Electric,GLICK AL FIELD HOUSE,2017,105709,47.99683654,0.454
,FY 17,Electric,TISCH PRESTON ROBERT TENNIS BLDG,2017,89026,60.264,0.677
,FY 17,Electric,ROSS STEPHEN M ACADEMIC CENTER,2017,45356,20.94316719,0.462
,FY 17,Electric,CANHAM DONALD B NATATORIUM,2017,77639,58.20565072,0.750
,FY 17,Electric,MICHIGAN STADIUM COMPLEX,2017,570265,1.094278704,0.002
,FY 17,Electric,MICHIGAN STADIUM COMPLEX,2017,570265,3.938423516,0.007
,FY 17,Electric,MICHIGAN STADIUM COMPLEX,2017,570265,2.617005155,0.005
,FY 17,Electric,MICHIGAN STADIUM COMPLEX,2017,570265,-1.200722583,-0.002
,FY 17,Electric,MICHIGAN STADIUM COMPLEX,2017,570265,90.5405398,0.159
,FY 17,Electric,MICHIGAN STADIUM COMPLEX,2017,570265,-2.123087742,-0.004
,FY 17,Electric,MICHIGAN STADIUM COMPLEX,2017,570265,-1.094278704,-0.002
,FY 17,Electric,MICHIGAN STADIUM COMPLEX,2017,570265,-3.938423516,-0.007
,FY 17,Electric,MICHIGAN STADIUM COMPLEX,2017,570265,112.307645,0.197
,FY 17,Electric,MICHIGAN STADIUM COMPLEX,2017,570265,-2.617005155,-0.005
,FY 17,Electric,MICHIGAN STADIUM COMPLEX,2017,570265,158.5884637,0.278
,FY 17,Electric,MICHIGAN STADIUM COMPLEX,2017,570265,1.200722583,0.002
,FY 17,Electric,MICHIGAN STADIUM COMPLEX,2017,570265,2.123087742,0.004
,FY 17,Electric,FIELD HOCKEY COMPLEX,2017,14683,11.016,0.750
,FY 06,Electric,MICHIGAN STADIUM COMPLEX,2006,153636,38.1706416,0.248
,FY 06,Electric,MICHIGAN STADIUM COMPLEX,2006,153636,15.5242584,0.101
,FY 06,Electric,KEEN CLIFFORD P ARENA,2006,38816,12.54297053,0.323
,FY 06,Electric,SHEPHERD WOMENS GYMNASTIC,2006,22837,0,0.000
,FY 06,Electric,SHEPHERD WOMENS GYMNASTIC,2006,22837,9.45177792,0.414
